input1,input2,output
-0.9,-0.9,0.018171941381708762
-0.9,-0.5,0.08138042572128407
-0.9,0,0.26682387380276884
-0.9,0.5,0.6154010658920074
-0.9,0.9,0.8475704135788769
-0.5,-0.9,0.01800675765476643
-0.5,-0.5,0.07962136970420282
-0.5,0,0.23920567926817302
-0.5,0.5,0.42632206863968214
-0.5,0.9,0.49050444283057554
0,-0.9,0.01720655384087742
0,-0.5,0.07191815877667539
0,0,0.16564640584558585
0,0.5,0.21282667175128445
0,0.9,0.22140231288854953
0.5,-0.9,0.01402624198064938
0.5,-0.5,0.050081905175411154
0.5,0,0.07963032076254196
0.5,0.5,0.08657588941890214
0.5,0.9,0.08753610144951207
0.9,-0.9,0.0071939455596024176
0.9,-0.5,0.02397631662631386
0.9,0,0.03142709351195653
0.9,0.5,0.032673233702462175
0.9,0.9,0.03283395964476374
