input1,input2,input3,input4,output
-0.9,-0.9,-0.9,-0.9,0.04095374817002666
-0.9,-0.9,-0.9,0,0.1652797143805567
-0.9,-0.9,-0.9,0.9,0.45565298426861073
-0.9,-0.9,0,-0.9,0.04047105439961099
-0.9,-0.9,0,0,0.11469098040196521
-0.9,-0.9,0,0.9,0.14256893392344705
-0.9,-0.9,0.9,-0.9,0.035464750258973485
-0.9,-0.9,0.9,0,0.047581324235150546
-0.9,-0.9,0.9,0.9,0.04828475730155415
-0.9,0,-0.9,-0.9,0.04791961755997558
-0.9,0,-0.9,0,0.1722455837705056
-0.9,0,-0.9,0.9,0.46261885365855965
-0.9,0,0,-0.9,0.04743692378955991
-0.9,0,0,0,0.12165684979191413
-0.9,0,0,0.9,0.14953480331339597
-0.9,0,0.9,-0.9,0.042430619648922405
-0.9,0,0.9,0,0.054547193625099466
-0.9,0,0.9,0.9,0.05525062669150307
-0.9,0.9,-0.9,-0.9,0.04095374817002666
-0.9,0.9,-0.9,0,0.1652797143805567
-0.9,0.9,-0.9,0.9,0.45565298426861073
-0.9,0.9,0,-0.9,0.04047105439961099
-0.9,0.9,0,0,0.11469098040196521
-0.9,0.9,0,0.9,0.14256893392344705
-0.9,0.9,0.9,-0.9,0.035464750258973485
-0.9,0.9,0.9,0,0.047581324235150546
-0.9,0.9,0.9,0.9,0.04828475730155415
0,-0.9,-0.9,-0.9,0.15898653505527255
0,-0.9,-0.9,0,0.2833125012658026
0,-0.9,-0.9,0.9,0.5736857711538565
0,-0.9,0,-0.9,0.1585038412848569
0,-0.9,0,0,0.23272376728721111
0,-0.9,0,0.9,0.2606017208086929
0,-0.9,0.9,-0.9,0.15349753714421938
0,-0.9,0.9,0,0.16561411112039645
0,-0.9,0.9,0.9,0.16631754418680006
0,0,-0.9,-0.9,0.009220343171370372
0,0,-0.9,0,0.1335463093819004
0,0,-0.9,0.9,0.42391957926995444
0,0,0,-0.9,0.0087376494009547
0,0,0,0,0.08295757540330892
0,0,0,0.9,0.11083552892479076
0,0,0.9,-0.9,0.0037313452603171993
0,0,0.9,0,0.015847919236494253
0,0,0.9,0.9,0.016551352302897858
0,0.9,-0.9,-0.9,0.15898653505527255
0,0.9,-0.9,0,0.2833125012658026
0,0.9,-0.9,0.9,0.5736857711538565
0,0.9,0,-0.9,0.1585038412848569
0,0.9,0,0,0.23272376728721111
0,0.9,0,0.9,0.2606017208086929
0,0.9,0.9,-0.9,0.15349753714421938
0,0.9,0.9,0,0.16561411112039645
0,0.9,0.9,0.9,0.16631754418680006
0.9,-0.9,-0.9,-0.9,0.3640926893148801
0.9,-0.9,-0.9,0,0.48841865552541014
0.9,-0.9,-0.9,0.9,0.7787919254134641
0.9,-0.9,0,-0.9,0.36360999554446444
0.9,-0.9,0,0,0.43782992154681866
0.9,-0.9,0,0.9,0.46570787506830047
0.9,-0.9,0.9,-0.9,0.3586036914038269
0.9,-0.9,0.9,0,0.37072026538000397
0.9,-0.9,0.9,0.9,0.3714236984464076
0.9,0,-0.9,-0.9,0.05759443615712689
0.9,0,-0.9,0,0.18192040236765694
0.9,0,-0.9,0.9,0.47229367225571095
0.9,0,0,-0.9,0.05711174238671122
0.9,0,0,0,0.13133166838906543
0.9,0,0,0.9,0.15920962191054727
0.9,0,0.9,-0.9,0.052105438246073714
0.9,0,0.9,0,0.06422201222225077
0.9,0,0.9,0.9,0.06492544528865438
0.9,0.9,-0.9,-0.9,0.3640926893148801
0.9,0.9,-0.9,0,0.48841865552541014
0.9,0.9,-0.9,0.9,0.7787919254134641
0.9,0.9,0,-0.9,0.36360999554446444
0.9,0.9,0,0,0.43782992154681866
0.9,0.9,0,0.9,0.46570787506830047
0.9,0.9,0.9,-0.9,0.3586036914038269
0.9,0.9,0.9,0,0.37072026538000397
0.9,0.9,0.9,0.9,0.3714236984464076
